产品名称,管理人,风险评级,认购金额,起点公示,信息
中信证券美信2号集合资产管理计划,中信证券股份有限公司,R2-中低风险,30万,中国证券投资基金业协会,中信证券直销柜台+代销(中信银行)
中信证券稳盈多策略MOM1号集合资产管理计划,中信证券股份有限公司,R4-中高风险,100万,中国证券投资基金业协会,中信证券直销柜台
中信证券灿瑞科技员工参与科创板战略配售2号集合资产管理计划,中信证券股份有限公司,R4-中高风险,40万,中国证券投资基金业协会,中信证券所有营业网点
中信证券灿瑞科技员工参与科创板战略配售1号集合资产管理计划,中信证券股份有限公司,R4-中高风险,100万,中国证券投资基金业协会,中信证券所有营业网点
中信证券振华风光员工参与科创板战略配售集合资产管理计划,中信证券股份有限公司,R4-中高风险,100万,中国证券投资基金业协会,中信证券所有营业网点
中信证券美信1号集合资产管理计划,中信证券股份有限公司,R3-中等风险,30万,中国证券投资基金业协会,中信证券直销柜台+代销(中信银行)
中信证券中证1000指数增强1号集合资产管理计划,中信证券股份有限公司,R5-高风险,100万,中国证券投资基金业协会,中信证券直销柜台
中信证券信致2号集合资产管理计划,中信证券股份有限公司,R4-中高风险,100万,中国证券投资基金业协会,中信证券直销柜台
中信证券丛麟环保员工参与科创板战略配售集合资产管理计划,中信证券股份有限公司,R4-中高风险,100万,中国证券投资基金业协会,中信证券所有营业网点
中信证券联影医疗员工参与科创板战略配售3号集合资产管理计划,中信证券股份有限公司,R4-中高风险,40万,中国证券投资基金业协会,中信证券所有营业网点
