标题,信息1,信息2,地址,总价,单价,小区均价
稀缺房源 户型方正 小区管理 南北对流 入读省级名校,中山三路散盘|2室1厅|36平,低层/9层 东南 中装 1993年,越秀区-东川路 中山三路,总价：176万,单价：48889元/平,小区均价：45422元/平
市委大院 南北对流 双阳台 小北本部校区 可公积金贷款,越秀北路散盘|2室2厅|72.2平,高层/9层 南北 简装 1997年,越秀区-小北 越秀北路,总价：439万,单价：60803元/平,小区均价：67909元/平
影城花园高层精装三房北向景观视野好看房提前约,影城花园|3室2厅|127平,高层/27层 北 简装 1998年,海珠区-客村 新港中路350-354号,总价：600万,单价：47244元/平,小区均价：44882元/平
荟贤大厦交通方便，周边配套完善 业主诚意放售,荟贤大厦|3室2厅|85.13平,高层/31层 东西 简装 1999年,海珠区-宝岗 海珠区同福中路348号,总价：360万,单价：42288元/平,小区均价：40174元/平
东湖板块 东湖新村小区 电梯两房 方正好用 随时看房,东湖新村|2室1厅|58平,中层/16层 东北 简装 1982年,越秀区-大沙头 越秀区东湖西路1、3、5、...,总价：360万,单价：62069元/平,小区均价：52966元/平
安静 电梯中层  看房有钥匙,东山铭泰公馆|1室|49.25平,中层/25层 北 中装 2016年,越秀区-杨箕 越秀区中山一路106号,总价：136万,单价：27614元/平,小区均价：28730元/平
东风东路 看房方便约业主 置换诚心售,东风东路550-699号(单号)散盘|3室1厅|100平,中层/9层 南北 简装 1995年,越秀区-东风东 东风东路581-699号（单...,总价：455万,单价：45500元/平,小区均价：57581元/平
西华路 越秀区 出入交通方便  全明屋 笋价出售 有钥匙,西华路散盘|3室2厅|111.59平,高层/9层 未知 简装 1997年,荔湾区-东风西 荔湾区西华路,总价：300万,单价：26884元/平,小区均价：33929元/平
东风东868大院 电梯四房 育才配套 框架东南西单边,东风东路散盘|4室1厅|65平,高层/8层 三面单边 简装 1992年,越秀区-东风东 越秀区东风东路,总价：435万,单价：66923元/平,小区均价：66502元/平
沙河顶漂亮三房家私家电齐全随时看房,沙河顶散盘|3室2厅|88.26平,高层/9层 南北 精装 2000年,越秀区-先烈路 沙河顶,总价：288万,单价：32631元/平,小区均价：31211元/平
怡乐路散盘 精装修 环境好 户型方正,怡乐路散盘|2室1厅|63平,高层/7层 南北 精装 1990年,海珠区-新港西 海珠区怡乐路,总价：210万,单价：33333元/平,小区均价：32142元/平
楼梯价买淘金地铁口电梯房 高层单位 业主诚心放售,华乐大厦|3室2厅|158.91平,高层/25层 西北 其他 1995年,越秀区-淘金 华乐路53号,总价：570万,单价：35869元/平,小区均价：43162元/平
西关海旁 中层两房 南岸路 马赛克外墙 厅出阳台 东向,南岸路散盘|2室1厅|38.21平,高层/9层 东 简装 2000年,荔湾区-南岸路 南岸路,总价：110万,单价：28788元/平,小区均价：31087元/平
大院管理 电梯低层 方正两房 厅出阳台 东南向 过5年,中山七路散盘|1室1厅|46.67平,低层/9层 东南 简装 1997年,荔湾区-陈家祠 荔湾区中山七路,总价：208万,单价：44568元/平,小区均价：35516元/平
洪德路 户型方正，望江风景好，东南向，安静舒适，近地铁,洪德路散盘|2室1厅|80平,中层/9层 南 简装 1990年,海珠区-工业大道北 海珠区洪德路,总价：190万,单价：23750元/平,小区均价：27867元/平
团一大地铁站旁 东南向 中层四房两厅三卫三阳台 全新...,东华西路散盘|4室2厅|126平,中层/9层 南北 简装 1992年,越秀区-东川路 东华西路,总价：468万,单价：37143元/平,小区均价：42750元/平
长寿东路 实用一房一厅 通风采光好 业主诚售,长寿路散盘|1室1厅|30.66平,高层/9层 东 简装 1997年,荔湾区-西关 长寿路,总价：95万,单价：30985元/平,小区均价：33651元/平
保利麓苑.格局方正好用使用率高交通方便近地铁五号线...,保利麓苑|2室2厅|86.35平,中层/33层 东南 简装 2007年,越秀区-淘金 越秀区麓苑路33号、麓...,总价：520万,单价：60220元/平,小区均价：65350元/平
入读先烈东 精装修 三房 低楼层 没有遮挡 即约,先烈东横路散盘|3室2厅|75.38平,低层/9层 未知 精装 1990年,越秀区-先烈路 先烈东横路,总价：235万,单价：31175元/平,小区均价：31771元/平
怡龙苑，准电梯，中层双阳台大两房,南北对流,怡龙苑|2室2厅|73.64平,中层/9层 南 精装 1997年,海珠区-宝岗 海珠区宝岗大道中165...,总价：220万,单价：29875元/平,小区均价：30838元/平
富力顺意花园 大阳台 光线好 证够5年,富力顺意花园|2室2厅|78.3平,高层/23层 西北 精装 2001年,海珠区-江燕路 海珠区江燕路顺意一街...,总价：350万,单价：44700元/平,小区均价：50661元/平
宝岗大厦地处繁华路段，交通便利,宝岗大厦|2室1厅|87平,中层/31层 东南 简装 1997年,海珠区-宝岗 宝岗路251号,总价：346万,单价：39770元/平,小区均价：36842元/平
沙园小区 近地铁 近菩提学府 户型方正 采光好 周边配...,沙园小区|2室1厅|60平,低层/9层 南 精装 1990年,海珠区-江南西 沙园大街,总价：220万,单价：36667元/平,小区均价：33411元/平
燕子岗路 高层两房 南北通透 临近江泰地铁站,燕子岗散盘|2室1厅|69.65平,高层/9层 南北 简装 1996年,海珠区-江燕路 燕子岗路,总价：170万,单价：24408元/平,小区均价：28629元/平
稀缺房源 户型方正 小区管理 南北对流 入读省级名校,东风东路散盘|3室1厅|70平,中层/7层 南北 中装 1992年,越秀区-东风东 越秀区东风东路,总价：405万,单价：57857元/平,小区均价：66502元/平
