图片,标题,简介,类型
https://img3.doubanio.com/mpic/s29535271.jpg,离开的，留下的,埃莱娜·费兰特“那不勒斯四部曲”NO.3，《我的天才女友》《新名字的故事》 后续，探索中年的虚无、困惑、野心和近乎残暴的爱。,虚构类
https://img3.doubanio.com/mpic/s29554772.jpg,利维坦之书,前卫摇滚歌手彼得·布雷瓦首部漫画杰作，跟随着没有脸孔的婴儿利维的脚步进出世界，曾获法国安古兰漫画2014年“最佳新人奖”。,虚构类
https://img3.doubanio.com/mpic/s29590893.jpg,吃瓜时代的儿女们,著名作家刘震云暌违五年的现实主义力作，用老辣之笔描摹出“吃瓜时代”的众生相，以慈悲之心探寻荒诞底线。,虚构类
https://img3.doubanio.com/mpic/s29578984.jpg,废土,斯蒂芬·金、乔治·R. R.马丁等22位西方类型文学名家，带来22篇风格不一的末日故事，满足你的废土幻想。,虚构类
https://img3.doubanio.com/mpic/s29540995.jpg,巫术师,英国著名小说家约翰·福尔斯后现代文学经典之作，兰登书屋二十世纪百大英文小说，.一场关于人性和爱的实验。,虚构类
https://img3.doubanio.com/mpic/s29594483.jpg,伊凡·伊里奇之死,列夫·托尔斯泰中短篇小说选，包括两个短篇《克罗采奏鸣曲》《魔鬼》和一个中篇《伊凡·伊里奇之死》，完美展现托尔斯泰风格魅力。,虚构类
https://img1.doubanio.com/mpic/s29529748.jpg,豆树青青,《毒木圣经》作者芭芭拉·金索沃成名作，一部关于爱、友谊与成长之书，美国图书馆协会年度最佳青少年小说。,虚构类
https://img3.doubanio.com/mpic/s29553096.jpg,命运的内核,格雷厄姆·格林公认的至高杰作，是格林对命运的探讨，穷尽了一个人在命运中会经历的一切考验。,虚构类
https://img1.doubanio.com/mpic/s29597818.jpg,传家之物,2013年诺贝尔文学奖得主艾丽丝·门罗代表作合集，作者亲自选定篇目，收录《逃离》《亲爱的生活》《好女人的爱情》等经典名篇。,虚构类
https://img3.doubanio.com/mpic/s29581865.jpg,豹变,木心的短篇循环体小说十六篇，根植于欧美现代主义的先锋派，是木心生前的“心愿之作”，隐含一个艺术家的精神成长史。,虚构类
https://img3.doubanio.com/mpic/s29535595.jpg,少年们想从侧面看烟花,岩井俊二作品继《情书》《关于莉莉周的一切》之后又一部青春物语，电影《烟花》原著小说，完整收录1993年电影未透露细节。,虚构类
https://img1.doubanio.com/mpic/s29576359.jpg,灵契,一个身陷囹圄的灵媒，一位渴望自由的富家小姐，一群被时代困住的女人。萨拉·沃特斯“维多利亚三部曲”第二部。,虚构类
https://img1.doubanio.com/mpic/s29578449.jpg,高堡奇人,科幻大师菲利普·迪克代表作之一，架空历史的杰出经典，曾获雨果奖最佳长篇小说，亚马逊系列剧《高堡奇人》原著。,虚构类
https://img3.doubanio.com/mpic/s29562250.jpg,秘密,一个只有两个人的三口之家，他们必须保守这个秘密。东野圭吾创作生涯中里程碑式的作品，获得第52届日本推理作家协会奖。,虚构类
https://img3.doubanio.com/mpic/s29551562.jpg,弗兰基的蓝色琴弦,现象级畅销书《相约星期二》作者米奇·阿尔博姆新作，六根蓝色琴弦，六次人生的转折，将虚构的人物嵌入真实的美国音乐史。,虚构类
https://img1.doubanio.com/mpic/s29536258.jpg,芬妮·希尔,英国文学史上第一部真正意义的情色小说，欧洲「卖淫黄金年代」里妓女生活的缩影，侧面展现18世纪上半叶伦敦的社会风貌和生活图景。,虚构类
https://img1.doubanio.com/mpic/s29563539.jpg,流吧！我的眼泪,美国科幻小说家菲利普•迪克的代表作，坎贝尔奖最佳长篇小说。小说描绘了一种“平行世界”的可能，主人公在原来的世界里是举世瞩目的大明星，在“平行世界”里却默默无闻。,虚构类
https://img3.doubanio.com/mpic/s29542782.jpg,海上钢琴师,“作家中的作家”亚历山德罗·巴里科作品选集，完整收录电影《海上钢琴师》原著，以及被《泰晤士报》赞誉为“文学瑰宝”的《丝绸》。,虚构类
https://img3.doubanio.com/mpic/s29575320.jpg,爸爸,收录了瓦西利斯•亚历克萨基斯创作的十一篇短篇小说，作者用简洁而幽默的语言讲述人生的奇遇，也讲述着人类内心世界里不易被察觉的一面。,虚构类
https://img3.doubanio.com/mpic/s29607494.jpg,寓言,福克纳晚年力图突破“约克纳帕塔法世系”，超越诺贝尔文学奖荣耀的心血之作，荣获美国国家图书奖和普利策奖。,虚构类
https://img3.doubanio.com/mpic/s29558402.jpg,日常生活中的核心基础运动,继畅销前作《核心基础运动》之后，作者古德曼教授带读者进一步探寻将“核心基础运动”融入日常生活和训练的方法。,非虚构类
https://img3.doubanio.com/mpic/s29517724.jpg,草间居游,豆瓣人气建筑师鱼山新近画作集结，收录两百余幅童趣盎然的水墨作品，用艺术去重新想象生活、设计生活。,非虚构类
https://img1.doubanio.com/mpic/s29522327.jpg,实用性阅读指南,日本知名讲师教你运用“思维导图”“二八法则”“艾宾斯曲线”牢牢掌握每一本书中的知识，让你每一次的读书都不再是无用功。,非虚构类
https://img3.doubanio.com/mpic/s29597572.jpg,您厉害，您赚得多,雪球创始人方三文新作，分享投资专业逻辑和实操经验，一本“聊”出来的投资“论语”。,非虚构类
https://img3.doubanio.com/mpic/s29558501.jpg,沿河行,作者奥利维娅沿着弗吉尼亚·伍尔夫自沉的乌斯河独行四十二英里，用流畅且富有诗意的语言，探讨河流在人类历史中的重要作用。,非虚构类
https://img3.doubanio.com/mpic/s29595730.jpg,美国人与中国人,前美国人类学协会主席许烺光国民性研究的代表作品，被奉为研究美国人与中国人民族性格的经典之作。,非虚构类
https://img3.doubanio.com/mpic/s29543691.jpg,高难度对话：如何与挑剔的人愉快相处,畅销书作家迈克·贝克特尔继《跟任何人都聊得来》之后推出的又一力作，旨在帮助人们在重要的人际关系中建立一套有效的沟通策略。,非虚构类
https://img1.doubanio.com/mpic/s29582307.jpg,亚洲史概说,日本汉学泰斗宫崎市定经典力作中文版首次面世，提出“西亚文明东流论”，开辟“亚洲史”的全新研究领域，揭示文明兴衰与时代演进的历史大势。,非虚构类
