代码,简称,流通市值(万元),总市值(万元),流通股本(万元),总股本(万元)
000008,神州高铁,695035.02,717445.20,269393.42,278079.53
000012,南 玻Ａ,1250258.61,1962172.26,195658.63,307069.21
000016,深康佳Ａ,905257.63,1365305.05,159657.43,240794.54
000017,深中华A,103316.52,188009.65,30298.10,55134.79
000020,深华发Ａ,166309.83,259942.01,18116.54,28316.12
000021,深科技,1765952.15,1766585.15,156002.84,156058.76
000023,深天地Ａ,156100.77,156100.77,13875.62,13875.62
000030,富奥股份,1019687.60,1048309.67,176111.85,181055.21
000039,中集集团,2118828.84,4964713.77,153427.14,359501.36
000045,深纺织Ａ,336772.04,373306.60,45694.98,50652.18
000048,京基智农,916191.93,916191.93,52323.92,52323.92
000049,德赛电池,1151251.95,1158253.13,29848.38,30029.90
000050,深天马Ａ,2252233.45,2329944.78,237577.37,245774.77
000055,方大集团,289932.93,459618.17,67741.34,107387.42
000059,华锦股份,1047634.86,1047634.86,159944.25,159944.25
000060,中金岭南,1685482.19,1685631.02,373721.11,373754.11
000063,中兴通讯,9651178.57,11737395.70,389317.41,473473.00
000066,中国长城,3325124.94,3648378.77,293998.67,322579.91
000070,特发信息,495455.16,502525.58,83269.78,84458.08
000100,TCL科技,5823812.77,6089298.81,1341892.34,1403064.24
000153,丰原药业,264868.67,265007.90,31197.72,31214.12
000155,川能动力,2821920.75,3279509.39,126999.13,147592.68
000157,中联重科,4253797.73,5224151.33,706610.92,867799.22
000301,东方盛虹,7668279.55,9431163.47,483498.08,594650.91
000333,美的集团,36090681.52,36895462.79,684443.04,699705.34
000338,潍柴动力,6065293.22,10480594.74,505020.25,872655.68
000400,许继电气,2006430.25,2006571.34,100825.64,100832.73
000401,冀东水泥,1462837.72,2751250.67,141336.98,265821.32
000403,派林生物,1205521.24,1465838.47,60276.06,73291.92
000404,长虹华意,351362.22,351477.97,69576.68,69599.60
